slug,url,title,excerpt,card_tag,filter_category,ui_module,sort_priority,pillar_num,content_path,hero_filename
ai-for-data-analysis,/blog/ai-for-data-analysis,AI for Data Analysis: The Complete 2026 Guide,"AI for data analysis in 2026: methods, tools, and the AI-native vs AI-enabled split. Complete guide with techniques, workflow patterns, and a buyer checklist.",Guides,knowledge,long-form-guide,100,1,articles/001-ai-for-data-analysis,hero-ai-for-data-analysis.png
data-agent-manifesto,/blog/data-agent-manifesto,The Data Agent Manifesto: Why the First Ship Launches Here,"The Data Agent Manifesto: why the first ship of the AI civilization launches here — auditable decisions, not just running code. Vision grounded in InfiniSynapse.",Deep Dive,deep_dive,long-form-guide,89,1,articles/002-data-agent-manifesto,hero-data-agent-manifesto.png
what-is-a-data-agent,/blog/what-is-a-data-agent,"What Is a Data Agent? Definition, Architecture, and Examples","What is a Data Agent? A citable definition, architecture layers, 5 pillars, real examples, and how it differs from copilots and Code Agents.",Guides,knowledge,definition-box,98,1,articles/003-what-is-a-data-agent,hero-what-is-a-data-agent.png
ai-native-data-platform,/blog/ai-native-data-platform,What Is an AI-Native Data Platform? (2026 Buyer's Guide),"What is an AI-native data platform? 2026 buyer's guide: 5 pillars, architecture layers, evaluation checklist, and InfiniSynapse as reference implementation.",Guides,knowledge,long-form-guide,95,1,articles/004-ai-native-data-platform,hero-ai-native-data-platform.png
best-agentic-analytics,/blog/best-agentic-analytics,Best Agentic Analytics Tools for Data-Driven Insights (2026),"Compare the best agentic analytics tools for data-driven insights in 2026. Tested picks, autonomy scoring, and a decision matrix for recurring vs ad-hoc analysis.",Tools & Reviews,tools_reviews,tool-listicle,92,1,articles/005-best-agentic-analytics,hero-agentic-analytics-comparison.png
autonomous-data-agent,/blog/autonomous-data-agent,What Is an Autonomous Data Agent?,"What is an autonomous data agent? Definition, 5 autonomy behaviors, self-correction patterns, and how it differs from copilots and code agents in 2026.",Guides,knowledge,definition-box,94,1,articles/006-autonomous-data-agent,hero-autonomous-data-agent-lifecycle.png
ai-data-analyst,/blog/ai-data-analyst,"AI Data Analyst: Role, Tools, and Workflow in 2026","AI data analyst role in 2026: evolved responsibilities, essential tools, human+AI division of labor, and a weekly workflow template for data teams.",Guides,knowledge,long-form-guide,96,1,articles/007-ai-data-analyst,hero-ai-data-analyst-workflow.png
ai-data-analyst-job-description,/blog/ai-data-analyst-job-description,AI Data Analyst Job Description: 2026 Template + Skills Matrix,"Copy-ready AI data analyst job description for 2026: responsibilities, skills matrix, qualifications, and sample JD for HR and hiring managers.",Guides,knowledge,copy-block,93,1,articles/008-ai-data-analyst-job-description,hero-ai-data-analyst-jd-template.png
data-agent-memory,/blog/data-agent-memory,AI Agent Memory for Data: Why Distillation Beats Chat History,"Data agent memory explained: why distillation beats chat history for analytics. April baseline case study, 12-month compounding math, and a 5-point evaluation checklist.",Deep Dive,deep_dive,long-form-guide,88,1,articles/009-data-agent-memory,hero-distillation-vs-chat-history.png
fabric-data-agent-vs-copilot,/blog/fabric-data-agent-vs-copilot,Fabric Data Agent vs Copilot: Which Fits Your Microsoft Stack?,"Fabric Data Agent vs Copilot compared for Microsoft shops: autonomy, memory, governance, and a decision matrix. Know which fits your Fabric estate.",Comparisons,comparisons,versus-scorecard,91,1,articles/010-fabric-data-agent-vs-copilot,hero-fabric-data-agent-vs-copilot.png
ai-native-vs-augmented-analytics,/blog/ai-native-vs-augmented-analytics,AI-Native vs Augmented Analytics: What's the Real Difference?,"AI-native vs augmented analytics explained: Gartner's definition, the 5-pillar comparison table, and a 3-question test for your 2026 stack.",Comparisons,comparisons,versus-scorecard,90,1,articles/011-ai-native-vs-augmented-analytics,hero-ai-native-vs-augmented.png
ai-data-analysis,/blog/ai-data-analysis,"AI Data Analysis: Methods, Tools, and Best Practices (2026)","AI data analysis in 2026: methods, tools, workflow stages, and best practices. From descriptive stats to AI-native agents — a practitioner's guide.",Guides,knowledge,long-form-guide,99,1,articles/012-ai-data-analysis,hero-ai-data-analysis-workflow.png
data-agent-glossary,/blog/data-agent-glossary,Data Agent Glossary: 15 Terms Every Analytics Team Should Know,Data agent glossary: 15 defined terms for analytics teams — from autonomy and distillation to InfiniSQL and InfiniRAG. Citable definitions for 2026.,Guides,knowledge,glossary-terms,97,1,articles/013-data-agent-glossary,hero-data-agent-glossary.png
code-agent-vs-data-agent,/blog/code-agent-vs-data-agent,Code Interpreter Data Analysis: Code Agent vs Data Agent (2026),"Code interpreter data analysis in 2026: compare Code Agent vs Data Agent on governance, repeatability, audit trails, and production rollout fit for analyst teams.",Comparisons,comparisons,versus-scorecard,86,2,articles/014-code-agent-vs-data-agent,hero-code-agent-vs-data-agent.png
data-agent-architecture,/blog/data-agent-architecture,"Data Agent Architecture: Layers, Memory, and Production Design (2026)","Data agent architecture for production: four layers, model routing, memory design, security controls, a scorecard, and a 30-day validation playbook.",Guides,knowledge,long-form-guide,85,2,articles/015-data-agent-architecture,hero-data-agent-architecture.png
