部署序号,文章编号,slug,页面URL,英文标题,列表摘要,目标关键词,支柱编号,支柱名称,内容类型,详情页组件,详情页组件说明,列表分类,列表分类说明,列表标签,列表排序权重,计划周次,部署动作,内容目录,正文文件,页面头信息,结构化数据,图片目录,封面图文件,图片数量,备注
1,001,ai-for-data-analysis,/blog/ai-for-data-analysis,AI for Data Analysis: The Complete 2026 Guide,"AI for data analysis in 2026: methods, tools, and the AI-native vs AI-enabled split. Complete guide with techniques, workflow patterns, and a buyer checklist.",ai for data analysis,1,AI原生数据分析,guide,long-form-guide,长文指南,knowledge,知识科普,Guides,100,已上线（Hub）,Hub已上线（维护内链）,articles/001-ai-for-data-analysis,articles/001-ai-for-data-analysis/article.md,articles/001-ai-for-data-analysis/meta-tags.html,articles/001-ai-for-data-analysis/schema.json,articles/001-ai-for-data-analysis/images/,articles/001-ai-for-data-analysis/images/hero-ai-for-data-analysis.png,3,P1 入口已上线
2,002,data-agent-manifesto,/blog/data-agent-manifesto,The Data Agent Manifesto: Why the First Ship Launches Here,"The Data Agent Manifesto: why the first ship of the AI civilization launches here — auditable decisions, not just running code. Vision grounded in InfiniSynapse.",data agent manifesto,1,AI原生数据分析,manifesto,long-form-guide,长文指南,deep_dive,技术深度,Deep Dive,89,Q2待排,Q2候选（90天后）,articles/002-data-agent-manifesto,articles/002-data-agent-manifesto/article.md,articles/002-data-agent-manifesto/meta-tags.html,articles/002-data-agent-manifesto/schema.json,articles/002-data-agent-manifesto/images/,articles/002-data-agent-manifesto/images/hero-data-agent-manifesto.png,3,
3,003,what-is-a-data-agent,/blog/what-is-a-data-agent,"What Is a Data Agent? Definition, Architecture, and Examples","What is a Data Agent? A citable definition, architecture layers, 5 pillars, real examples, and how it differs from copilots and Code Agents.",what is a data agent,1,AI原生数据分析,what-is,definition-box,定义科普框,knowledge,知识科普,Guides,98,第5周,新发文章,articles/003-what-is-a-data-agent,articles/003-what-is-a-data-agent/article.md,articles/003-what-is-a-data-agent/meta-tags.html,articles/003-what-is-a-data-agent/schema.json,articles/003-what-is-a-data-agent/images/,articles/003-what-is-a-data-agent/images/hero-what-is-a-data-agent.png,3,
4,004,ai-native-data-platform,/blog/ai-native-data-platform,What Is an AI-Native Data Platform? (2026 Buyer's Guide),"What is an AI-native data platform? 2026 buyer's guide: 5 pillars, architecture layers, evaluation checklist, and InfiniSynapse as reference implementation.",ai-native data platform,1,AI原生数据分析,buyer-guide,long-form-guide,长文指南,knowledge,知识科普,Guides,95,Q2待排,Q2候选（90天后）,articles/004-ai-native-data-platform,articles/004-ai-native-data-platform/article.md,articles/004-ai-native-data-platform/meta-tags.html,articles/004-ai-native-data-platform/schema.json,articles/004-ai-native-data-platform/images/,articles/004-ai-native-data-platform/images/hero-ai-native-data-platform.png,3,
5,005,best-agentic-analytics,/blog/best-agentic-analytics,Best Agentic Analytics Tools for Data-Driven Insights (2026),"Compare the best agentic analytics tools for data-driven insights in 2026. Tested picks, autonomy scoring, and a decision matrix for recurring vs ad-hoc analysis.",agentic analytics,1,AI原生数据分析,listicle,tool-listicle,工具排行榜,tools_reviews,工具与评测,Tools & Reviews,92,第5周,新发文章,articles/005-best-agentic-analytics,articles/005-best-agentic-analytics/article.md,articles/005-best-agentic-analytics/meta-tags.html,articles/005-best-agentic-analytics/schema.json,articles/005-best-agentic-analytics/images/,articles/005-best-agentic-analytics/images/hero-agentic-analytics-comparison.png,4,
6,006,autonomous-data-agent,/blog/autonomous-data-agent,What Is an Autonomous Data Agent?,"What is an autonomous data agent? Definition, 5 autonomy behaviors, self-correction patterns, and how it differs from copilots and code agents in 2026.",autonomous data agent,1,AI原生数据分析,what-is,definition-box,定义科普框,knowledge,知识科普,Guides,94,,待发文章,articles/006-autonomous-data-agent,articles/006-autonomous-data-agent/article.md,articles/006-autonomous-data-agent/meta-tags.html,articles/006-autonomous-data-agent/schema.json,articles/006-autonomous-data-agent/images/,articles/006-autonomous-data-agent/images/hero-autonomous-data-agent-lifecycle.png,3,
7,007,ai-data-analyst,/blog/ai-data-analyst,"AI Data Analyst: Role, Tools, and Workflow in 2026","AI data analyst role in 2026: evolved responsibilities, essential tools, human+AI division of labor, and a weekly workflow template for data teams.",ai data analyst,1,AI原生数据分析,role-guide,long-form-guide,长文指南,knowledge,知识科普,Guides,96,第6周,新发文章,articles/007-ai-data-analyst,articles/007-ai-data-analyst/article.md,articles/007-ai-data-analyst/meta-tags.html,articles/007-ai-data-analyst/schema.json,articles/007-ai-data-analyst/images/,articles/007-ai-data-analyst/images/hero-ai-data-analyst-workflow.png,3,
8,008,ai-data-analyst-job-description,/blog/ai-data-analyst-job-description,AI Data Analyst Job Description: 2026 Template + Skills Matrix,"Copy-ready AI data analyst job description for 2026: responsibilities, skills matrix, qualifications, and sample JD for HR and hiring managers.",ai data analyst job description,1,AI原生数据分析,job-template,copy-block,可复制文本块,knowledge,知识科普,Guides,93,,待发文章,articles/008-ai-data-analyst-job-description,articles/008-ai-data-analyst-job-description/article.md,articles/008-ai-data-analyst-job-description/meta-tags.html,articles/008-ai-data-analyst-job-description/schema.json,articles/008-ai-data-analyst-job-description/images/,articles/008-ai-data-analyst-job-description/images/hero-ai-data-analyst-jd-template.png,3,
9,009,data-agent-memory,/blog/data-agent-memory,AI Agent Memory for Data: Why Distillation Beats Chat History,"Data agent memory explained: why distillation beats chat history for analytics. April baseline case study, 12-month compounding math, and a 5-point evaluation checklist.",data agent,1,AI原生数据分析,deep-dive,long-form-guide,长文指南,deep_dive,技术深度,Deep Dive,88,,待发文章,articles/009-data-agent-memory,articles/009-data-agent-memory/article.md,articles/009-data-agent-memory/meta-tags.html,articles/009-data-agent-memory/schema.json,articles/009-data-agent-memory/images/,articles/009-data-agent-memory/images/hero-distillation-vs-chat-history.png,3,
10,010,fabric-data-agent-vs-copilot,/blog/fabric-data-agent-vs-copilot,Fabric Data Agent vs Copilot: Which Fits Your Microsoft Stack?,"Fabric Data Agent vs Copilot compared for Microsoft shops: autonomy, memory, governance, and a decision matrix. Know which fits your Fabric estate.",data agent vs ai copilot,1,AI原生数据分析,versus,versus-scorecard,对比打分表,comparisons,对比与替代,Comparisons,91,Q2待排,Q2候选（90天后）,articles/010-fabric-data-agent-vs-copilot,articles/010-fabric-data-agent-vs-copilot/article.md,articles/010-fabric-data-agent-vs-copilot/meta-tags.html,articles/010-fabric-data-agent-vs-copilot/schema.json,articles/010-fabric-data-agent-vs-copilot/images/,articles/010-fabric-data-agent-vs-copilot/images/hero-fabric-data-agent-vs-copilot.png,4,
