id,folder,slug,url,pillar,pillar_num,content_type,card_tag,filter_category,ui_module,target_keyword,title,source_path,sort_priority
001,001-ai-for-data-analysis,ai-for-data-analysis,/blog/ai-for-data-analysis,pillar1-ai-native-data-analysis,1,guide,Guides,knowledge,long-form-guide,ai for data analysis,AI for Data Analysis: The Complete 2026 Guide,SEO/Blog/pillar1-ai-native-data-analysis/001-ai-for-data-analysis,100
002,002-data-agent-manifesto,data-agent-manifesto,/blog/data-agent-manifesto,pillar1-ai-native-data-analysis,1,manifesto,Deep Dive,deep_dive,long-form-guide,data agent manifesto,The Data Agent Manifesto: Why the First Ship Launches Here,SEO/Blog/pillar1-ai-native-data-analysis/002-data-agent-manifesto,89
003,003-what-is-a-data-agent,what-is-a-data-agent,/blog/what-is-a-data-agent,pillar1-ai-native-data-analysis,1,what-is,Guides,knowledge,definition-box,what is a data agent,"What Is a Data Agent? Definition, Architecture, and Examples",SEO/Blog/pillar1-ai-native-data-analysis/003-what-is-a-data-agent,98
004,004-ai-native-data-platform,ai-native-data-platform,/blog/ai-native-data-platform,pillar1-ai-native-data-analysis,1,buyer-guide,Guides,knowledge,long-form-guide,ai-native data platform,What Is an AI-Native Data Platform? (2026 Buyer's Guide),SEO/Blog/pillar1-ai-native-data-analysis/004-ai-native-data-platform,95
005,005-best-agentic-analytics,best-agentic-analytics,/blog/best-agentic-analytics,pillar1-ai-native-data-analysis,1,listicle,Tools & Reviews,tools_reviews,tool-listicle,agentic analytics,Best Agentic Analytics for Data-Driven Insights (2026),SEO/Blog/pillar1-ai-native-data-analysis/005-best-agentic-analytics,92
006,006-autonomous-data-agent,autonomous-data-agent,/blog/autonomous-data-agent,pillar1-ai-native-data-analysis,1,what-is,Guides,knowledge,definition-box,autonomous data agent,What Is an Autonomous Data Agent?,SEO/Blog/pillar1-ai-native-data-analysis/006-autonomous-data-agent,94
007,007-ai-data-analyst,ai-data-analyst,/blog/ai-data-analyst,pillar1-ai-native-data-analysis,1,role-guide,Guides,knowledge,long-form-guide,ai data analyst,"AI Data Analyst: Role, Tools, and Workflow in 2026",SEO/Blog/pillar1-ai-native-data-analysis/007-ai-data-analyst,96
008,008-ai-data-analyst-job-description,ai-data-analyst-job-description,/blog/ai-data-analyst-job-description,pillar1-ai-native-data-analysis,1,job-template,Guides,knowledge,copy-block,ai data analyst job description,AI Data Analyst Job Description: 2026 Template + Skills Matrix,SEO/Blog/pillar1-ai-native-data-analysis/008-ai-data-analyst-job-description,93
009,009-data-agent-memory,data-agent-memory,/blog/data-agent-memory,pillar1-ai-native-data-analysis,1,deep-dive,Deep Dive,deep_dive,long-form-guide,data agent,Data Agent: Why Distillation Beats Chat History,SEO/Blog/pillar1-ai-native-data-analysis/009-data-agent-memory,88
010,010-fabric-data-agent-vs-copilot,fabric-data-agent-vs-copilot,/blog/fabric-data-agent-vs-copilot,pillar1-ai-native-data-analysis,1,versus,Comparisons,comparisons,versus-scorecard,data agent vs ai copilot,Fabric Data Agent vs AI Copilot: Which Fits Your Microsoft Stack?,SEO/Blog/pillar1-ai-native-data-analysis/010-fabric-data-agent-vs-copilot,91
011,011-ai-native-vs-augmented-analytics,ai-native-vs-augmented-analytics,/blog/ai-native-vs-augmented-analytics,pillar1-ai-native-data-analysis,1,versus,Comparisons,comparisons,versus-scorecard,ai-native data platform,Ai-Native Data Platform: What's the Real Difference?,SEO/Blog/pillar1-ai-native-data-analysis/011-ai-native-vs-augmented-analytics,90
012,012-ai-data-analysis,ai-data-analysis,/blog/ai-data-analysis,pillar1-ai-native-data-analysis,1,guide,Guides,knowledge,long-form-guide,ai data analysis,"AI Data Analysis: Methods, Tools, and Best Practices (2026)",SEO/Blog/pillar1-ai-native-data-analysis/012-ai-data-analysis,99
013,013-data-agent-glossary,data-agent-glossary,/blog/data-agent-glossary,pillar1-ai-native-data-analysis,1,glossary,Guides,knowledge,glossary-terms,what is a data agent,What Is a Data Agent: 15 Terms Every Analytics Team Should Know,SEO/Blog/pillar1-ai-native-data-analysis/013-data-agent-glossary,97
