deploy_order,week,phase,batch_label,keyword_priority,deploy_action,article_id,slug,url,title,target_keyword,pillar_num,pillar_name,content_type,source_path,handoff_path,deploy_bundle,post_deploy_checklist,depends_on_slugs,notes,deploy_status,deployed_date,gsc_submitted
1,pre,—,—,SHIPPED,hub_already_live,001,ai-for-data-analysis,/blog/ai-for-data-analysis,AI for Data Analysis: The Complete 2026 Guide,ai for data analysis,1,AI-Native Data Analysis,guide,SEO/Blog/pillar1-ai-native-data-analysis/001-ai-for-data-analysis,SEO/Blog/frontend-handoff/content/pillar1-ai-native-data-analysis/001-ai-for-data-analysis,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;update_existing_route;verify_faq_rich_results,,P1 入口已上线,live,,
2,Q2,Q2,—,P0,backlog,002,data-agent-manifesto,/blog/data-agent-manifesto,The Data Agent Manifesto: Why the First Ship Launches Here,data agent manifesto,1,AI-Native Data Analysis,manifesto,SEO/Blog/pillar1-ai-native-data-analysis/002-data-agent-manifesto,SEO/Blog/frontend-handoff/content/pillar1-ai-native-data-analysis/002-data-agent-manifesto,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
3,W5,Phase2,5-B,P0,new_publish,003,what-is-a-data-agent,/blog/what-is-a-data-agent,"What Is a Data Agent? Definition, Architecture, and Examples",what is a data agent,1,AI-Native Data Analysis,definition,SEO/Blog/pillar1-ai-native-data-analysis/003-what-is-a-data-agent,SEO/Blog/frontend-handoff/content/pillar1-ai-native-data-analysis/003-what-is-a-data-agent,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;gsc_request_indexing;verify_faq_rich_results,,,,,
4,Q2,Q2,—,P0,backlog,004,ai-native-data-platform,/blog/ai-native-data-platform,What Is an AI-Native Data Platform? (2026 Buyer's Guide),ai-native data platform,1,AI-Native Data Analysis,buyer-guide,SEO/Blog/pillar1-ai-native-data-analysis/004-ai-native-data-platform,SEO/Blog/frontend-handoff/content/pillar1-ai-native-data-analysis/004-ai-native-data-platform,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
5,W5,Phase2,5-A,P0,new_publish,005,best-agentic-analytics,/blog/best-agentic-analytics,Best Agentic Analytics for Data-Driven Insights (2026),agentic analytics,1,AI-Native Data Analysis,hub,SEO/Blog/pillar1-ai-native-data-analysis/005-best-agentic-analytics,SEO/Blog/frontend-handoff/content/pillar1-ai-native-data-analysis/005-best-agentic-analytics,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;gsc_request_indexing;verify_faq_rich_results,,,,,
6,W6,Phase2,6-A,P0,new_publish,007,ai-data-analyst,/blog/ai-data-analyst,"AI Data Analyst: Role, Tools, and Workflow in 2026",ai data analyst,1,AI-Native Data Analysis,role hub,SEO/Blog/pillar1-ai-native-data-analysis/007-ai-data-analyst,SEO/Blog/frontend-handoff/content/pillar1-ai-native-data-analysis/007-ai-data-analyst,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;gsc_request_indexing;verify_faq_rich_results,,,,,
7,Q2,Q2,—,P0,backlog,010,fabric-data-agent-vs-copilot,/blog/fabric-data-agent-vs-copilot,Fabric Data Agent vs AI Copilot: Which Fits Your Microsoft Stack?,data agent vs ai copilot,1,AI-Native Data Analysis,versus,SEO/Blog/pillar1-ai-native-data-analysis/010-fabric-data-agent-vs-copilot,SEO/Blog/frontend-handoff/content/pillar1-ai-native-data-analysis/010-fabric-data-agent-vs-copilot,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
8,W2,Phase1,2-C,SHIPPED,content_refresh,014,code-agent-vs-data-agent,/blog/code-agent-vs-data-agent,Code Interpreter Data Analysis: Code Agent vs Data Agent (2026),code agent vs data agent,2,Data Agent vs Alternatives,versus,SEO/Blog/pillar2-data-agent-vs-alternatives/014-code-agent-vs-data-agent,SEO/Blog/frontend-handoff/content/pillar2-data-agent-vs-alternatives/014-code-agent-vs-data-agent,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;update_existing_route;gsc_request_indexing;verify_faq_rich_results,,P2 Hub 已上线；W2 补定义+5 FAQ+内链,,,
9,Q2,Q2,—,P0,backlog,015,data-agent-architecture,/blog/data-agent-architecture,"Data Agent Architecture: Layers, Memory, and Production Design (2026)",data agent architecture,2,Data Agent vs Alternatives,guide,SEO/Blog/pillar2-data-agent-vs-alternatives/015-data-agent-architecture,SEO/Blog/frontend-handoff/content/pillar2-data-agent-vs-alternatives/015-data-agent-architecture,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
10,W6,Phase2,6-B,P0,new_publish,016,ai-data-analyst-vs-bi-tools,/blog/ai-data-analyst-vs-bi-tools,"AI Data Analyst vs BI Tools: Governance, SQL, and Self-Service (2026)",ai data analyst vs bi tools,2,Data Agent vs Alternatives,comparison,SEO/Blog/pillar2-data-agent-vs-alternatives/016-ai-data-analyst-vs-bi-tools,SEO/Blog/frontend-handoff/content/pillar2-data-agent-vs-alternatives/016-ai-data-analyst-vs-bi-tools,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;gsc_request_indexing;verify_faq_rich_results,,,,,
