gsc_submit_order,gsc_week,gsc_tier,submit_method,article_id,slug,url,target_keyword,keyword_priority,buyer_stage,pillar_num,filter_category,priority_score,gsc_notes,gsc_submitted,indexed_status,indexed_date
1,W1,T1,manual_inspection,037,infinisynapse-vs-julius-ai,/blog/infinisynapse-vs-julius-ai,infinisynapse vs julius ai,P0,BOFU,3,comparisons,203,P0 BOFU · 手动提交,,,
2,W1,T1,manual_inspection,031,julius-ai-alternatives,/blog/julius-ai-alternatives,julius ai alternatives,P0,BOFU,3,comparisons,202,P0 BOFU · 手动提交,,,
3,W1,T1,manual_inspection,038,infinisynapse-vs-chatgpt,/blog/infinisynapse-vs-chatgpt,infinisynapse vs chatgpt data analysis,P0,BOFU,3,comparisons,201,P0 BOFU · 手动提交,,,
4,W1,T1,manual_inspection,044,connect-supabase-to-ai-data-analyst,/blog/connect-supabase-to-ai-data-analyst,sql for data analysis,SHIPPED,BOFU,4,connectors,198,Hub · 全量上线后优先重抓,,,
5,W1,T1,manual_inspection,030,chatgpt-data-analysis-alternatives,/blog/chatgpt-data-analysis-alternatives,chatgpt for data analysis alternatives,P0,MOFU,3,comparisons,190,P0 · 手动提交,,,
6,W1,T1,manual_inspection,043,infinisynapse-review,/blog/infinisynapse-review,infinisynapse review,P0,BOFU,3,tools_reviews,189,P0 BOFU · 手动提交,,,
7,W1,T1,manual_inspection,045,connect-postgres-to-ai-data-analyst,/blog/connect-postgres-to-ai-data-analyst,connect postgres to ai data analyst,P0,BOFU,4,connectors,188,P0 BOFU · 手动提交,,,
8,W1,T1,manual_inspection,047,connect-snowflake-to-ai-analyst,/blog/connect-snowflake-to-ai-analyst,connect snowflake to ai analyst,P0,BOFU,4,connectors,187,P0 BOFU · 手动提交,,,
9,W2,T1,manual_inspection,048,connect-bigquery-to-ai-data-analyst,/blog/connect-bigquery-to-ai-data-analyst,connect bigquery to ai data analyst,P0,BOFU,4,connectors,186,P0 BOFU · 手动提交,,,
10,W2,T1,manual_inspection,024,best-ai-tools-for-data-analysis,/blog/best-ai-tools-for-data-analysis,best ai tools for data analysis,SHIPPED,MOFU,3,tools_reviews,185,Hub · 全量上线后优先重抓,,,
11,W2,T1,manual_inspection,051,ai-data-analysis-google-sheets,/blog/ai-data-analysis-google-sheets,ai data analysis for google sheets,P0,BOFU,4,connectors,179,P0 BOFU · 手动提交,,,
