payment_id,deal_id,payment_date,payment_amount,payment_method,note
P001,D000,2026-01-05,750000,银行转账,跨季回款-去年Q4成交今年Q1到账
P002,D001,2026-01-10,500000,银行转账,跨季回款-去年Q4成交今年Q1到账
P003,D002,2026-01-15,800000,银行转账,当季成交当季到账
P004,D003,2026-01-22,150000,银行转账,分期回款-第1期50%
P005,D003,2026-04-15,150000,银行转账,分期回款-第2期50%
P006,D004,2026-02-10,400000,银行转账,分期回款-第1期1/3
P007,D004,2026-05-15,400000,银行转账,分期回款-第2期1/3
P008,D004,2026-08-15,400000,银行转账,分期回款-第3期1/3
P009,D005,2026-02-25,250000,银行转账,当季成交当季到账
P010,D006,2026-04-10,600000,银行转账,延迟回款-Q1成交Q2到账
P011,D007,2026-03-15,400000,银行转账,当季到账后续退款
P012,D007,2026-04-20,-400000,退款,Q2全额退款冲销
P013,D009,2026-04-25,200000,银行转账,延迟回款-Q1成交Q2到账
P014,D010,2026-04-12,450000,银行转账,Q2成交Q2到账
