奖项,奖项内排序,作品名称,产品URL,链接打开,任务核验,任务说明,备注
一等奖,1,SEO Health Checker,https://aimeetup.center/,是,是,提交 example.com，返回问题/关键词/速度分,
一等奖,2,AI智能售卖机商品推荐,https://productselect-production.up.railway.app/,是,是,「快速体验」跑完并出现选品结果,
二等奖,1,仲裁小助手,https://la.tracemuse.top/,是,是,脱敏示例跑完，可见案卷/结果,
二等奖,2,鼹鼠,https://yanshu.octoooo.com,是,是,演示工作区加载完整演示数据,
二等奖,3,司南 SINAN · 多智能体证据研判引擎,http://47.119.112.225/sinan/app/,是,是,「开始研判」后出现研判结果,
二等奖,4,SafeX,http://47.94.57.145,是,是,线上已有完成态 InfiniSynapse AI 报告,
三等奖,1,LifeFlow Agent——本地生活数据决策分析管家,https://qiyucai.cn/InfiniSynapse/,是,部分,已发起主任务，等待期内未见完整完成态（长任务/需上传/多步向导）,
三等奖,2,Offer 雷达｜入职前公司尽调助手,https://offerradar.cn,是,需登录,分析按钮为「登录后开始分析」，无游客完成路径,
三等奖,3,医数智析,https://129.204.17.83/agentmedicine/,是,需登录,打开即登录墙，DEMO 病历也回登录,
三等奖,4,DataForNGO Lab — Insight Engine,https://dataforngo-lab.swmengappdev.workers.dev,是,是,Run insight / scan 返回完整 JSON 结果,
三等奖,5,FORGE·X 智造洞察 —— 面向 3D 打印（增材制造）工厂的生产数据分析应用,https://ivancodes.cn/projects/forgex,是,是,洞察页对机群仿真提问「哪台机故障率最高」，给出 FX-256-01 30.6% 及排行,
三等奖,6,提前退休研究所,https://fire.lgbisha.cn,是,是,「开始研判」后出现结果,
优秀奖,1,退货雷达,https://returnradar.zzyscut.top/,是,是,示例看板完整加载,
优秀奖,2,装明白｜装修报价与合同风险联审 AI,https://zhuangmingbai.hudejing.art,是,是,示例报告完整可见,
优秀奖,3,数鉴交易市场,https://dataescrow.suzhouye.cn/,是,是,「开始使用」后出现结果,
优秀奖,4,跨境智选 SuperSignal｜基于供需信号的跨境优选决策平台,https://supersignal.kangkona.workers.dev/,是,是,重新演示后出现完整演示数据,
优秀奖,5,Evidence Desk 专家发现台,https://experts.threeradius.com,是,是,搜索接口返回完整检索结果,
优秀奖,6,mynx,https://mynx-web.vercel.app/,是,部分,已发起主任务，等待期内未见完整完成态（长任务/需上传/多步向导）,
优秀奖,7,城市值得去工作吗（city_worth）,https://iscityworth.asia/,是,是,跳过登录后对杭州应届做本地评分，出综合评估 5.6/10（AI 评估仍要登录）,
优秀奖,8,面试模拟器,http://150.158.148.112,是,需登录,无游客，必须账号,
优秀奖,9,住哪儿｜租房通勤决策器,https://guangforent-zhunaer-d3glw67kxb5de30db.webapps.tcloudbase.com,是,需登录,报告接口要求 InfiniSynapse 登录,Chrome TLS 套件不匹配，curl/python 可打开
优秀奖,10,AI 装修报价审计员,https://reno-audit.vercel.app,是,部分,已发起主任务，等待期内未见完整完成态（长任务/需上传/多步向导）,
