week_start,channel,gmv_cny,orders,refund_orders,ad_spend_cny,uv,new_users
2026-05-25,搜索广告,509600,4018,161,76440,90160,2058
2026-05-25,信息流,470400,3822,147,93100,137200,3136
2026-05-25,直播,597800,5096,205,41160,205800,4410
2026-05-25,自然流量,284200,2352,68,0,66640,882
2026-06-01,搜索广告,530400,4182,168,79560,93840,2142
2026-06-01,信息流,489600,3978,153,96900,142800,3264
2026-06-01,直播,622200,5304,214,42840,214200,4590
2026-06-01,自然流量,295800,2448,71,0,69360,918
2026-06-08,搜索广告,520000,4100,165,78000,92000,2100
2026-06-08,信息流,480000,3900,150,95000,140000,3200
2026-06-08,直播,610000,5200,210,42000,210000,4500
2026-06-08,自然流量,290000,2400,70,0,68000,900
2026-06-15,搜索广告,540800,4264,171,81120,95680,2184
2026-06-15,信息流,499200,4056,156,98800,145600,3328
2026-06-15,直播,634400,5408,218,43680,218400,4680
2026-06-15,自然流量,301600,2496,72,0,70720,936
2026-06-22,搜索广告,504400,3977,160,75660,89240,2037
2026-06-22,信息流,465600,3783,145,92150,135800,3104
2026-06-22,直播,591700,5044,203,40740,203700,4365
2026-06-22,自然流量,281300,2328,67,0,65960,873
2026-06-29,搜索广告,525200,4141,166,78780,92920,2121
2026-06-29,信息流,484800,3939,151,95950,141400,3232
2026-06-29,直播,616100,5252,212,42420,212100,4545
2026-06-29,自然流量,292900,2424,70,0,68680,909
2026-07-06,搜索广告,505000,4000,860,80000,90000,2000
2026-07-06,信息流,395000,3050,140,178000,195000,2800
2026-07-06,直播,198000,1650,95,38000,88000,1200
2026-07-06,自然流量,285000,2350,72,0,67000,880
