order_id,user_id,order_time,sku,product_name,quantity,unit_price,total_amount,city,region
SH202605001,U1001,2026-05-01 10:23:15,LXH-001,棉麻床品四件套,1,799,799,上海,上海浦东新区
SH202605002,U1002,2026-05-01 14:11:30,LXH-002,香薰蜡烛三件套,2,199,398,北京,北京朝阳区
SH202605003,U1003,2026-05-02 09:45:02,LXH-006,陶瓷餐具组,1,399,399,杭州,杭州西湖区
SH202605004,U1004,2026-05-02 16:32:48,LXH-004,编织收纳篮,3,89,267,上海,上海浦东新区
SH202605005,U1021,2026-05-02 20:08:11,LXH-002,香薰蜡烛三件套,1,199,199,成都,成都武侯区
SH202605006,U1028,2026-05-03 11:17:55,LXH-003,玻璃花瓶,2,149,298,广州,广州天河区
SH202605007,U1005,2026-05-03 15:44:20,LXH-008,亚麻窗帘,1,599,599,北京,北京朝阳区
SH202605008,U1011,2026-05-04 09:22:14,LXH-001,棉麻床品四件套,1,799,799,上海,上海浦东新区
SH202605009,U1006,2026-05-04 13:55:36,LXH-005,羊毛抱枕,2,159,318,杭州,杭州西湖区
SH202605010,U1022,2026-05-04 18:33:09,LXH-006,陶瓷餐具组,1,399,399,成都,成都武侯区
SH202605011,U1029,2026-05-05 10:14:22,LXH-002,香薰蜡烛三件套,3,199,597,广州,广州天河区
SH202605012,U1007,2026-05-05 14:27:48,LXH-003,玻璃花瓶,1,149,149,上海,上海浦东新区
SH202605013,U1012,2026-05-06 11:09:33,LXH-007,黄铜烛台,2,259,518,北京,北京朝阳区
SH202605014,U1023,2026-05-06 16:50:01,LXH-004,编织收纳篮,2,89,178,成都,成都武侯区
SH202605015,U1030,2026-05-07 09:31:25,LXH-001,棉麻床品四件套,1,799,799,广州,广州天河区
SH202605016,U1008,2026-05-07 13:12:47,LXH-002,香薰蜡烛三件套,1,199,199,上海,上海浦东新区
SH202605017,U1013,2026-05-08 10:48:19,LXH-005,羊毛抱枕,3,159,477,北京,北京朝阳区
SH202605018,U1024,2026-05-08 15:22:54,LXH-008,亚麻窗帘,1,599,599,成都,成都武侯区
SH202605019,U1031,2026-05-09 11:35:28,LXH-006,陶瓷餐具组,1,399,399,广州,广州天河区
SH202605020,U1009,2026-05-09 17:04:11,LXH-003,玻璃花瓶,2,149,298,杭州,杭州西湖区
SH202605021,U1014,2026-05-10 09:18:42,LXH-001,棉麻床品四件套,1,799,799,北京,北京朝阳区
SH202605022,U1010,2026-05-10 14:55:30,LXH-007,黄铜烛台,1,259,259,上海,上海浦东新区
SH202605023,U1025,2026-05-11 10:23:17,LXH-002,香薰蜡烛三件套,2,199,398,成都,成都武侯区
SH202605024,U1015,2026-05-11 16:41:09,LXH-006,陶瓷餐具组,1,399,399,杭州,杭州西湖区
SH202605025,U1032,2026-05-12 09:52:24,LXH-004,编织收纳篮,2,89,178,广州,广州天河区
SH202605026,U1001,2026-05-12 13:25:48,LXH-002,香薰蜡烛三件套,2,199,398,上海,上海浦东新区
SH202605027,U1002,2026-05-13 10:14:32,LXH-005,羊毛抱枕,1,159,159,北京,北京朝阳区
SH202605028,U1003,2026-05-13 15:38:19,LXH-008,亚麻窗帘,1,599,599,杭州,杭州西湖区
SH202605029,U1026,2026-05-14 11:07:55,LXH-001,棉麻床品四件套,1,799,799,成都,成都武侯区
SH202605030,U1033,2026-05-14 16:30:08,LXH-002,香薰蜡烛三件套,1,199,199,广州,广州天河区
SH202605031,U1004,2026-05-15 09:41:23,LXH-003,玻璃花瓶,1,149,149,上海,上海浦东新区
SH202605032,U1011,2026-05-15 14:19:47,LXH-007,黄铜烛台,2,259,518,上海,上海浦东新区
SH202605033,U1016,2026-05-16 10:05:36,LXH-001,棉麻床品四件套,1,799,799,杭州,杭州西湖区
SH202605034,U1027,2026-05-16 15:48:11,LXH-006,陶瓷餐具组,1,399,399,成都,成都武侯区
