综合排名,参赛排名,作品名称,作品类型,产品赛道,综合评级,综合分,场景价值,技术完成度,创新性,场景价值依据,技术完成度依据,创新性依据,一句话总评,人气票数,长廊排序,可在线体验,最近更新
1,1,司南 SINAN · 多智能体证据研判引擎,参赛作品,高风险决策,S,9.38,9.5,9.5,9.0,覆盖买房择时、入职尽调、投资避坑、识别骗局等高利害决策，用户愿为「少踩一次坑」付费，场景刚需且结果可改变行动。,多智能体取证、结论绑定证据与置信度、实体关联、可视化报告、taskId 可核验、分享与批注均齐，产品主路径完整。,「无证据不立论」把研判做成可核验产品，隐藏关联/团伙特征发现超出普通问答包装。,本届产品完成度与决策价值的标杆之一，证据链方法论可直接产品化。,811,1,是,2026-07-25
2,2,鼹鼠,参赛作品,可信数据,S,9.30,9.0,9.5,9.5,审计/投行/咨询/经营分析岗每天核数，交报告和收报告两端都有强付费理由。,主张抽取、联邦重算、三档结论、口径复利、纠错重验、已核实版、即焚、公开工程指标，几乎是生产级。,模型无权判❌、数字与叙事责任分离、口径裁决沉淀，是本届最强的方法论创新。,人气与产品实力错位最大的作品：把「可信数字」做成引擎，而不是又一个分析聊天窗。,10,36,是,2026-07-23
3,3,SafeX,参赛作品,公共安全,S,8.78,9.5,8.5,8.0,骚扰、跟踪、家暴场景下，定性、取证、求助路径是生命安全级需求，社会价值极高。,2300+ 事件洞察、AI 报告引法条、SOS 守护、工具箱与内容库，API 失败降级到本地模板，公益产品完成度高。,数据洞察、即时求助和法律自助打通，不是单点紧急按钮或单点聊天。,本届社会价值最高的作品之一，产品模块扎实，值得单独看待。,0,88,是,2026-07-31
4,4,LifeFlow Agent——本地生活数据决策分析管家,参赛作品,生活决策,S,8.68,8.5,9.0,8.5,餐厅/天气/交通/票务的多人出行决策是高频真实痛点，产出方案、对比看板与报告，决策闭环清楚。,个人管家、多管家协商、未来预演三套体验独立可用；SSE、任务持久化、重试降级、密钥仅服务端，工程完整。,Context Broker 只交换脱敏约束的多人协商，以及未来时间预演，是少见的产品机制创新。,生活决策里产品化最深的作品：隐私协商 + 可对比方案，而不只是聊天推荐。,445,2,是,2026-07-24
5,5,Offer 雷达｜入职前公司尽调助手,参赛作品,求职职业,S,8.62,9.0,9.0,7.5,校招/跳槽/签 Offer 前核验主体、舆情、劳动风险，决策利害高、付费意愿明确。,Partner SSO、多源交叉核验、事实与判断分离、多格式导出、任务恢复与备份重试，部署与安全说明完整。,尽调维度设计专业，但「公司尽调报告」形态在求职工具里已较常见。,求职决策类里最接近可上线 SaaS 的作品，证据与行动清单都落到签约前。,366,4,是,2026-07-31
6,6,医数智析,参赛作品,医疗健康,A,8.45,9.0,8.5,7.5,患者「看不懂、存不全」与医生跨时间整理资料是刚需，健康档案能改变就医和随访行为。,患者端+医生工作台、10 组演示病例、多 Agent 质检/趋势/用药安全、Partner SSO 用户级归因，可完整体验。,双端纵向档案 + 医生审核后发布，比单次问诊机器人完整，但 AI 辅助诊疗赛道本身并不新。,医疗场景价值很高，产品结构完整；创新更多在工作流设计而非新品类。,379,3,是,2026-07-25
7,7,DataForNGO Lab — Insight Engine,参赛作品,公益合规,A,8.43,8.0,8.5,9.0,NGO 缺合规、可审计的「为何差、该怎么做」工具，被主流产品忽略的真场景。,本地 WASM 做严谨计算，PDPA k-匿名/目的限制/PII 闸门后再调用云端叙述，职责分离正确。,嵌套推理图 + 合规闸门 + 跨租户学习手册，是本届少有的治理型创新。,公益数据产品的正确姿势：先算清、先合规，再让 AI 说话。,3,77,是,2026-07-21
8,,帮我找到那个东西,官方示例,官方示例,A,8.30,8.0,8.5,8.5,用户常「不知道商品叫什么」却要买对东西，用途描述找商品是真实购物决策。,按用途检索并用用户 Chrome 核对、加购、停在付款前，端到端克制且可体验。,不知名找物 + 真人浏览器核验 + 停在付款前，比普通购物推荐更像助手。,官方示例里产品感最强：先找对，再核对，且不越权下单。,,93,是,2026-07-20
9,8,FORGE·X 智造洞察 —— 面向 3D 打印（增材制造）工厂的生产数据分析应用,参赛作品,工业制造,A,8.18,8.0,8.5,8.0,车间故障率、材料失败、成本归属是工厂管理真实问题，目标用户（主管/工艺/质量）清晰。,自然语言提问、SSE+SQL 聚合、示例/CSV/仿真采集、问题机台 3D 视口高亮、taskId 可核对，垂直闭环完整。,增材制造 + 3D 定位问题机台，把分析结论接回产线对象，赛道独特。,垂直工业场景里完成度和对象化最好的作品，不是泛分析换皮。,277,6,是,2026-07-31
10,9,提前退休研究所,参赛作品,公共决策,A,8.18,8.0,8.5,8.0,延迟退休与养老金是社会级议题，个人也能算清法定年龄和城市 FIRE 起步价。,12 个权威数据集入库可查、六章可溯源叙事、退休年龄计算器，研究产品化完整。,研究所体例+多源交叉+方法论边界声明，比普通计算器更像公共知识产品。,把公共数据做成可核验的人生账本，产品完成度和叙事都强。,7,44,是,2026-07-22
