奖项,奖项内排序,定奖方式,作品名称,产品URL,InfiniSynapseAPI,产品赛道,综合分,综合评级,参赛排名,场景价值,技术完成度,创新性,人气票数,一句话总评,定奖说明
一等奖,1,已定,SEO Health Checker,https://aimeetup.center/,是,内容增长,7.85,A,17,7.5,8.5,7.5,155,工具形态完整，AI 可见性是本届少有的增长侧新切口。,沿用 partner_user_counts 已定一等奖。品类：内容增长。 已核验体验链接可打开。
一等奖,2,已定,AI智能售卖机商品推荐,https://productselect-production.up.railway.app/,是,零售补货,5.85,C,78,6.5,5.0,6.0,36,切口不俗，信息披露不足，产品完成度只能按可见材料保守给分。,沿用 partner_user_counts 已定一等奖；综合分低于多数头部作品，本表不改动。 已核验体验链接可打开。
二等奖,1,已定,仲裁小助手,https://la.tracemuse.top/,是,法律权益,7.60,A,29,8.5,7.0,7.0,119,场景极强、交付物具体；作为产品还偏工具单页，扩展空间大。,沿用原表「劳动仲裁材料助手」二等奖。品类：法律权益。 已核验体验链接可打开。
二等奖,2,已定,鼹鼠,https://yanshu.octoooo.com,是,可信数据,9.30,S,2,9.0,9.5,9.5,10,人气与产品实力错位最大的作品：把「可信数字」做成引擎，而不是又一个分析聊天窗。,沿用 partner_user_counts 已定二等奖。品类：可信数据。 已核验体验链接可打开。
二等奖,3,新定,司南 SINAN · 多智能体证据研判引擎,http://47.119.112.225/sinan/app/,是,高风险决策,9.38,S,1,9.5,9.5,9.0,811,本届产品完成度与决策价值的标杆之一，证据链方法论可直接产品化。,按综合分补齐二等奖，品类「高风险决策」与已定一二等奖不重复。 已核验体验链接可打开。
二等奖,4,新定,SafeX,http://47.94.57.145,是,公共安全,8.78,S,3,9.5,8.5,8.0,0,本届社会价值最高的作品之一，产品模块扎实，值得单独看待。,按综合分补齐二等奖，品类「公共安全」与已定一二等奖不重复。 已核验体验链接可打开。
三等奖,1,新定,LifeFlow Agent——本地生活数据决策分析管家,https://qiyucai.cn/InfiniSynapse/,是,生活决策,8.68,S,4,8.5,9.0,8.5,445,生活决策里产品化最深的作品：隐私协商 + 可对比方案，而不只是聊天推荐。,按综合分补齐三等奖，品类「生活决策」与全部一二三等奖不重复。 已核验体验链接可打开。
三等奖,2,新定,Offer 雷达｜入职前公司尽调助手,https://offerradar.cn,是,求职职业,8.62,S,5,9.0,9.0,7.5,366,求职决策类里最接近可上线 SaaS 的作品，证据与行动清单都落到签约前。,按综合分补齐三等奖，品类「求职职业」与全部一二三等奖不重复。 已核验体验链接可打开。
三等奖,3,新定,医数智析,https://129.204.17.83/agentmedicine/,是,医疗健康,8.45,A,6,9.0,8.5,7.5,379,医疗场景价值很高，产品结构完整；创新更多在工作流设计而非新品类。,按综合分补齐三等奖，品类「医疗健康」与全部一二三等奖不重复。 已核验体验链接可打开。
三等奖,4,新定,DataForNGO Lab — Insight Engine,https://dataforngo-lab.swmengappdev.workers.dev,是,公益合规,8.43,A,7,8.0,8.5,9.0,3,公益数据产品的正确姿势：先算清、先合规，再让 AI 说话。,按综合分补齐三等奖，品类「公益合规」与全部一二三等奖不重复。 已核验体验链接可打开。
三等奖,5,新定,FORGE·X 智造洞察 —— 面向 3D 打印（增材制造）工厂的生产数据分析应用,https://ivancodes.cn/projects/forgex,是,工业制造,8.18,A,8,8.0,8.5,8.0,277,垂直工业场景里完成度和对象化最好的作品，不是泛分析换皮。,按综合分补齐三等奖，品类「工业制造」与全部一二三等奖不重复。 已核验体验链接可打开。
三等奖,6,新定,提前退休研究所,https://fire.lgbisha.cn,是,公共决策,8.18,A,9,8.0,8.5,8.0,7,把公共数据做成可核验的人生账本，产品完成度和叙事都强。,按综合分补齐三等奖，品类「公共决策」与全部一二三等奖不重复。 已核验体验链接可打开。
优秀奖,1,新定,退货雷达,https://returnradar.zzyscut.top/,是,经营电商,8.12,A,10,8.5,8.5,7.0,16,经营分析类里最会问对问题的作品之一，行动方案可落地。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,2,新定,装明白｜装修报价与合同风险联审 AI,https://zhuangmingbai.hudejing.art,是,生活决策,8.07,A,11,8.5,8.0,7.5,4,装修决策类完成度最高：把钱和条款放到同一张谈判桌上。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
