deal_id,customer_name,deal_amount,close_date,deal_stage,owner,industry
D000,中国移动政企事业部,750000,2025-11-30,closed-won,王磊,电信
D001,阿里云事业部,500000,2025-12-28,closed-won,王磊,云计算
D002,字节跳动广告组,800000,2026-01-08,closed-won,李娜,互联网广告
D003,腾讯游戏中心,300000,2026-01-15,closed-won,张伟,游戏
D004,京东物流大客户,1200000,2026-02-03,closed-won,王磊,物流
D005,美团到店事业群,250000,2026-02-18,closed-won,李娜,本地生活
D006,拼多多商业化,600000,2026-03-01,closed-won,张伟,电商
D007,滴滴出行企业版,400000,2026-03-12,closed-won,王磊,出行
D008,小红书商业化,350000,2026-03-20,closed-won,李娜,内容社区
D009,网易云音乐,200000,2026-03-28,closed-won,张伟,音乐
D010,快手电商,450000,2026-04-05,closed-won,王磊,电商
D011,B站游戏发行,180000,2026-02-14,negotiation,李娜,游戏
D012,知乎商业广告,220000,2026-03-08,proposal,张伟,内容社区
